feature,n_setup,n_control,test,pvalue,cohens_d,rank_biserial,ks_stat,qvalue,significant
range_position_21,11224,11455,cluster_robust_t,2.756881530951025e-192,-1.4558163176308783,0.7122154838745807,0.6808678820996226,2.536331008474943e-190,True
range_position_42,11133,11465,cluster_robust_t,1.736084577015635e-163,-1.3866165192559825,0.6961885765373658,0.6126324111408941,7.985989054271921e-162,True
range_position_63,11043,11465,cluster_robust_t,8.631338954505246e-145,-1.2491162892768746,0.6341401346731697,0.5040349308114389,2.6469439460482755e-143,True
accum_vol_share_21,11230,11466,cluster_robust_t,5.124721997855406e-128,-0.8999024044407107,0.47826631805769315,0.36188651134586775,1.1786860595067435e-126,True
range_position_126,10758,11463,cluster_robust_t,1.1526133492393266e-124,-0.9397839440773194,0.49615162159095183,0.33205914964215477,2.1208085626003608e-123,True
price_to_ma_20,11241,11466,cluster_robust_t,1.7818087530200505e-105,-1.1068437474466597,0.6777223783018895,0.5519148966478259,2.732106754630744e-104,True
price_to_ma_50,11105,11465,cluster_robust_t,8.222373539175995e-99,-0.966424406213112,0.5817778164383782,0.4770010640610294,1.0806548080059879e-97,True
dist_from_high_21,11241,11466,cluster_robust_t,4.460764052423752e-95,-0.954591464705806,0.587883109557592,0.4567088521680767,5.129878660287315e-94,True
rel_strength_21,11230,11466,cluster_robust_t,3.3743928063002155e-94,-0.990651013562759,0.591974087623496,0.4679715272642382,3.4493793131068865e-93,True
dist_from_low_21,11241,11466,cluster_robust_t,1.6998112362336475e-90,-0.8342830562907022,0.693366422502112,0.6802604476743789,1.5638263373349555e-89,True
rs_at_high_21,11241,11466,cluster_robust_t,4.619068720644779e-89,-1.0238952382834563,0.6187240545774992,0.47453214621234757,3.8632211118119964e-88,True
accum_vol_share_42,11133,11465,cluster_robust_t,4.641373656996002e-88,-0.5992160709732165,0.3319224964586881,0.24460905605142336,3.5583864703636018e-87,True
dist_from_high_42,11135,11465,cluster_robust_t,4.111284149288327e-87,-0.8813297901223295,0.5411205811560966,0.42347786972357443,2.9095241671886622e-86,True
rel_strength_42,11133,11465,cluster_robust_t,6.286260282894423e-87,-0.7599639859504527,0.4673821250723079,0.36435234624423113,4.1309710430449064e-86,True
rs_at_high_42,11135,11465,cluster_robust_t,5.295442116406279e-84,-0.9453241578879099,0.5660710257943242,0.4328241337382803,3.2478711647291847e-83,True
